text,aspect,sentiment
غذای این رستوران واقعاً عالی بود,غذا,positive
پیتزا خیلی خوشمزه و تازه بود,پیتزا,positive
کیفیت غذا فوق‌العاده بود,کیفیت غذا,positive
کباب کوبیده عالی بود,کباب,positive
سالاد خیلی تازه و خوشمزه بود,سالاد,positive
برنج خوب پخته شده بود,برنج,positive
نوشابه سرد و خنک بود,نوشابه,positive
دسر خامه‌ای محشر بود,دسر,positive
سوپ داغ و خوشمزه بود,سوپ,positive
ساندویچ بزرگ و سیرکننده بود,ساندویچ,positive
چلوکباب این رستوران حرف نداره,چلوکباب,positive
جوجه کباب خیلی نرم و آبدار بود,جوجه کباب,positive
قورمه سبزی مزه اصیل ایرانی داشت,قورمه سبزی,positive
فسنجان خوشمزه و غلیظ بود,فسنجان,positive
زرشک پلو با مرغ عالی بود,زرشک پلو,positive
غذا سرد بود و مزه نداشت,غذا,negative
پیتزا سوخته و بدمزه بود,پیتزا,negative
کیفیت غذا افتضاح بود,کیفیت غذا,negative
کباب خام بود و قابل خوردن نبود,کباب,negative
سالاد تازه نبود و پژمرده بود,سالاد,negative
برنج شفته و بدپخت بود,برنج,negative
نوشابه گرم و بی‌گاز بود,نوشابه,negative
دسر خراب و ترش شده بود,دسر,negative
سوپ بی‌مزه و آبکی بود,سوپ,negative
ساندویچ کوچک و گرون بود,ساندویچ,negative
غذا نیم‌پز و غیرقابل خوردن بود,غذا,negative
مرغ خشک و بی‌مزه بود,مرغ,negative
ماکارونی له شده و چسبناک بود,ماکارونی,negative
همبرگر سرد و بی‌کیفیت بود,همبرگر,negative
سیب‌زمینی سرخ شده چرب و نرم بود,سیب‌زمینی,negative
غذای معمولی بود نه خوب نه بد,غذا,neutral
پیتزا در حد انتظار بود,پیتزا,neutral
کباب متوسط بود,کباب,neutral
سالاد نه تازه نه کهنه,سالاد,neutral
غذا قابل قبول بود,غذا,neutral
پرس معمولی بود,پرس,neutral
مزه استاندارد داشت,مزه,neutral
سرویس‌دهی سریع و محترمانه بود,سرویس,positive
گارسون خیلی مودب و خوش‌برخورد بود,گارسون,positive
برخورد پرسنل عالی بود,پرسنل,positive
سرعت سرویس‌دهی خوب بود,سرعت سرویس,positive
پذیرایی گرم و صمیمانه بود,پذیرایی,positive
خدمات این رستوران بی‌نظیره,خدمات,positive
گارسون سفارش رو سریع آورد,گارسون,positive
رزرو آسان و بدون دردسر بود,رزرو,positive
صف نبود و سریع جا دادن,صف,positive
منو کامل و متنوع بود,منو,positive
سرویس‌دهی افتضاح بود,سرویس,negative
گارسون بی‌ادب و بداخلاق بود,گارسون,negative
پرسنل اصلاً به مشتری اهمیت نمی‌دادن,پرسنل,negative
سرعت سرویس‌دهی خیلی کند بود,سرعت سرویس,negative
یک ساعت منتظر غذا موندیم,انتظار,negative
گارسون سفارش رو اشتباه آورد,گارسون,negative
برخورد بد و توهین‌آمیز داشتن,برخورد,negative
هیچکس به ما توجه نمی‌کرد,توجه,negative
رزرو کرده بودیم ولی میز نداشتن,رزرو,negative
صف خیلی طولانی بود,صف,negative
سرویس معمولی بود,سرویس,neutral
گارسون نه خوب نه بد,گارسون,neutral
سرعت سرویس متوسط بود,سرعت سرویس,neutral
انتظار در حد نرمال بود,انتظار,neutral
فضای رستوران دلنشین و زیبا بود,فضا,positive
دکوراسیون مدرن و شیک بود,دکوراسیون,positive
محیط تمیز و بهداشتی بود,محیط,positive
نورپردازی عالی و رمانتیک بود,نورپردازی,positive
صندلی‌ها راحت بودن,صندلی,positive
میزها تمیز و مرتب بودن,میز,positive
موسیقی ملایم و دلنشین پخش می‌شد,موسیقی,positive
تهویه هوا خوب بود,تهویه,positive
سرویس بهداشتی تمیز بود,سرویس بهداشتی,positive
پارکینگ بزرگ و راحت داشت,پارکینگ,positive
فضای رستوران کثیف و نامرتب بود,فضا,negative
دکوراسیون قدیمی و زشت بود,دکوراسیون,negative
